PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1015:2014_5_31_5_49,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1015:2014_5_31_6_12,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1015:2014_5_31_7_30,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1015:2014_5_31_7_6,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_5_50,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_6_13,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_7_32,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_7_54,CCSP,2,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_7_7,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_8_17,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_8_39,CCSP,2,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_9_21,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_5_43,CCSP,3,0,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_5_7,CCSP,2,1,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_6_14,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_6_48,CCSP,1,2,0,0,0,1,1,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_7_16,CCSP,2,1,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_7_39,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_8_45,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_8_8,CCSP,3,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_9_11,CCSP,1,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1050:2011_5_24_5_41,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_6_21,CCSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_6_50,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_7_15,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_7_39,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_8_20,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_8_45,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_9_33,CCSP,1,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_9_8,CCSP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_5_31,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_6_25,CCSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_6_3,CCSP,4,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1051:2011_5_31_6_45,CCSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_7_31,CCSP,1,1,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_7_53,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_7_8,CCSP,5,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1051:2011_5_31_8_16,CCSP,3,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_6_4,CCSP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_6_56,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_7_10,CCSP,1,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_7_36,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_8_1,CCSP,4,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_8_36,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_8_59,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_9_56,CCSP,1,0,0,0,1,1,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_5_17,CCSP,3,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_6_35,CCSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_6_7,CCSP,5,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_7_3,CCSP,4,0,0,1,0,1,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_7_32,CCSP,5,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_8_0,CCSP,5,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_8_24,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_8_45,CCSP,5,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_9_8,CCSP,2,1,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_5_22,CCSP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_5_53,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_6_19,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_6_49,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_7_14,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_7_41,CCSP,1,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_8_30,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2014_5_30_8_5,CCSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1056:2011_6_14_5_49,CCSP,3,0,0,0,0,0,0,0,0,0,Y
