PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1223:2008_6_16_7_22,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1256:2013_5_31_8_3,GRSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1283:2013_5_27_6_16,GRSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1283:2013_5_27_6_42,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1284:2013_6_18_5_27,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1284:2013_6_18_7_36,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1339:2013_6_1_5_13,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1413:2012_6_1_4_40,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1413:2012_6_1_6_0,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1413:2012_6_1_6_21,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1413:2012_6_1_6_40,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1413:2012_6_1_6_59,GRSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1414:2014_5_30_6_23,GRSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1414:2014_5_30_7_8,GRSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1414:2014_5_30_8_53,GRSP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1414:2014_5_30_9_16,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1414:2014_5_30_9_38,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1415:2013_5_28_8_29,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1416:2014_6_1_6_9,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1418:2012_5_31_6_10,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1418:2012_5_31_6_33,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1418:2015_6_2_5_43,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1418:2015_6_2_6_13,GRSP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1420:2013_5_29_7_17,GRSP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1439:2011_6_10_5_31,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1439:2011_6_10_6_36,GRSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1441:2012_6_16_5_41,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1441:2012_6_16_5_55,GRSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1443:2010_6_12_6_36,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1443:2012_6_9_5_5,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1443:2012_6_9_5_54,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1443:2012_6_9_6_17,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1443:2012_6_9_6_36,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1443:2012_6_9_6_55,GRSP,0,2,0,0,0,0,0,0,0,0,Y
