PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1015:2014_5_31_7_57,VESP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_5_50,VESP,0,0,0,0,0,1,0,0,1,0,Y
ABMI:PUBLIC:1016:2011_5_27_7_32,VESP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_7_54,VESP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_7_7,VESP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1016:2011_5_27_8_17,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_7_16,VESP,0,0,0,0,0,0,0,2,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_7_39,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1028:2014_6_11_8_8,VESP,0,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1028:2014_6_11_9_11,VESP,0,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1050:2011_5_24_5_41,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_6_50,VESP,0,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_7_39,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1050:2011_5_24_8_20,VESP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_8_1,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_8_36,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1052:2011_6_1_8_59,VESP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_5_17,VESP,1,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_6_35,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_6_7,VESP,0,0,0,1,0,0,0,0,0,1,Y
ABMI:PUBLIC:1054:2011_5_25_7_3,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_7_32,VESP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_8_24,VESP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_8_45,VESP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1054:2011_5_25_9_8,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_5_13,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_5_31,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_5_49,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_6_8,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_7_1,VESP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1056:2011_6_14_7_27,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2011_6_14_7_48,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_5_31,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_5_8,VESP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_6_39,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_7_29,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1056:2015_6_2_9_50,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2011_6_15_8_6,VESP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_5_57,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_6_27,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1057:2015_6_1_7_48,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_5_30,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_5_5,VESP,2,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_5_53,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_6_17,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_6_41,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_7_2,VESP,2,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_7_25,VESP,2,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1058:2011_6_16_7_45,VESP,1,1,0,1,0,0,0,0,0,0,Y
