DURATIONCODE,DURATIONRANGE,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10
A,0-10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,0-5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,0-5-10,5,10,NA,NA,NA,NA,NA,NA,NA,NA
D,0-3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,0-20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,0-5-10-10+,5,10,INF,NA,NA,NA,NA,NA,NA,NA
G,0-3-5-10-10+,3,5,10,INF,NA,NA,NA,NA,NA,NA
H,0-3-10,3,10,NA,NA,NA,NA,NA,NA,NA,NA
I,0-3-5,3,5,NA,NA,NA,NA,NA,NA,NA,NA
J,UNK,,,,,,,,,,
K,0-5-10-15-20,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Q,0-10-15,10,15,NA,NA,NA,NA,NA,NA,NA,NA
R,0-3-5-8-10,3,5,8,10,NA,NA,NA,NA,NA,NA
S,0-5-8,5,8,NA,NA,NA,NA,NA,NA,NA,NA
T,0-3-7-10,,,,,,,,,,
X,0-3.33-6.66-10,3.33,6.66,10,NA,NA,NA,NA,NA,NA,NA
Y,0-1-2-3-4-5-6-7-8-9-10,1,2,3,4,5,6,7,8,9,10
Z,0-2-3-4-5-6-7-8-9-10,2,3,4,5,6,7,8,9,10,NA
AA,0-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ya,0-1-2-3 (4-5-6-7-8-9-10),,,,,,,,,,
BB,0-1-2-3,1,2,3,NA,NA,NA,NA,NA,NA,NA
CC,0-2.5-5-7.5,2.5,5,7.5,NA,NA,NA,NA,NA,NA,NA
DD,0-2-4-5-6,2,4,5,6,NA,NA,NA,NA,NA,NA
FF,0-1.66-3.33-5,1.66,3.33,5,NA,NA,NA,NA,NA,NA,NA
GG,0-1.66-3.33-5 or 0-5,1.66,3.33,5,NA,NA,NA,NA,NA,NA,NA
HH,0-1.5-3-4.5-6,1.5,3,4.5,6,NA,NA,NA,NA,NA,NA
II,0-40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
