DURATIONCODE,DURATIONRANGE,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,TotalDUR
A,0-10,10,,,,,,,,,,10
B,0-5,5,,,,,,,,,,5
C,0-5-10,5,10,,,,,,,,,10
D,0-3,3,,,,,,,,,,3
E,0-20,20,,,,,,,,,,20
F,0-5-10-10+,5,10,unk,,,,,,,,10
G,0-3-5-10-10+,3,5,10,unk,,,,,,,10
H,0-3-10,3,10,,,,,,,,,10
I,0-3-5,3,5,,,,,,,,,5
J,UNK,,,,,,,,,,,NA
K,0-5-10-15-20,5,10,,,,,,,,,20
Q,0-10-15,10,15,,,,,,,,,15
R,0-3-5-8-10,3,5,8,10,,,,,,,10
S,0-5-8,5,8,,,,,,,,,8
T,0-3-7-10,,,,,,,,,,,10
X,0-3.33-6.66-10,3.33,6.66,10,,,,,,,,10
Y,0-1-2-3-4-5-6-7-8-9-10,1,2,3,4,5,6,7,8,9,10,10
Z,0-2-3-4-5-6-7-8-9-10,2,3,4,5,6,7,8,9,10,,10
AA,0-2,2,,,,,,,,,,2
Ya,0-1-2-3 (4-5-6-7-8-9-10),,,,,,,,,,,10
BB,0-1-2-3,1,2,3,,,,,,,,3
CC,0-2.5-5-7.5,2.5,5,7.5,,,,,,,,7.5
DD,0-2-4-5-6,2,4,5,6,,,,,,,6
FF,0-1.66-3.33-5,1.66,3.33,5,,,,,,,,5
GG,0-1.66-3.33-5 or 0-5,1.66,3.33,5,,,,,,,,5
HH,0-1.5-3-4.5-6,1.5,3,4.5,6,,,,,,,6
II,0-40,40,,,,,,,,,,40
